<lex>m<s>mela</s></lex>	m#mela:
<lex>mm<s>rAja</s>f<s>rAjan</s><s>jA</s><s>jYI</s></lex>	m:f#jA:f#jI
<lex>f<s>rya</s>mfn</lex>	f:m#rya:f#ryA:n#rya:
<lex><s>RI</s>f</lex>	f#RI:
<lex>m<s>Ri</s>n</lex>	m:n#Ri:
<lex>f<s>la</s>n</lex>	f:n#la:
<lex><s>wI</s>f</lex>	f#wI:
<lex>f<s>Ra</s>mn</lex>	f:m#Ra:n#Ra:
<lex>mf<s>-vAw</s>n</lex>	m:f:n:
<lex>mff</lex>	m:f:f:
<lex>m<s>qI</s>f</lex>	m:f#qI:
<lex>n<s>nA</s>f</lex>	n:f#nA:
<lex>m<s>BI</s>f</lex>	m:f#BI:
<lex>m<s>li</s>f<s>lI</s>f</lex>	m:f#li:f#lI:
<lex>m<s>kerI</s>f</lex>	m:f#kerI:
<lex>f<s>ka</s>mfn</lex>	m#ka:f#kA:n#ka:
<lex><s>lA</s>f</lex>	f#lA:
<lex>f<s>lI</s>f</lex>	f:f#lI:
<lex><s>RA</s>f</lex>	f#RA:
<lex>f<s>nIka</s>mfn</lex>	f:m#nIka:f#nIkA:n#nIka:
<lex>m<s>kA</s>f</lex>	m:f#kA:
<lex>f<s>tra</s>n</lex>	f:n#tra:
<lex>n<s>RA</s>f</lex>	n:f#RA:
<lex>m<s>ReSI</s>f</lex>	m:f#ReSI:
<lex>m<s>dAkU</s>f</lex>	m:f#dAkU:
<lex>f<s>Ra</s>n</lex>	f:n#Ra:
<lex>f<s>ga</s>n</lex>	f:n#ga:
<lex>f<s>tIka</s>mfn</lex>	f:m#tIka:f#tIkA:n#tIka:
<lex>m<s>DU</s>f</lex>	m:f#DU:
<lex>m<s>kI</s>f</lex>	m:f#kI:
<lex><s>cI</s>f</lex>	f#cI:
<lex>m<s>metA</s>f</lex>	m:f#metA:
<lex>fn<s>a</s></lex>	f:n#a:
<lex>f<s>cIka</s>mfn</lex>	f:m#cIka:f#cIkA:n#cIka:
<lex>n<s>a</s></lex>	n#a:
<lex>fn<s>a</s></lex>	f:n#a:
<lex>f<s>nIka</s>mfn</lex>	f:m#nIka:f#nIkA:n#nIka:
<lex>f<s>ka</s>mn</lex>	f:m#ka:n#ka:
<lex>mmfnmfn</lex>	m:m:f:n:
<lex>f<s>na</s>n</lex>	f:n#na:
